,action_ATK_nearest,action_ATK_clu_nearest,action_ATK_nearest_weakest,action_ATK_clu_nearest_weakest,action_ATK_threatening,action_DEF_clu_nearest,action_MIX_gather,action_MIX_lure,action_MIX_sacrifice_lure,do_randomly,do_nothing
79,-0.78029991,0.0,0.0,0.0,1.6491983729,0.0,-0.68,0.0,0.0,0.0,0.148427853561
A9,0.0,0.0,0.0,0.0,1.5264,0.0,0.0,0.0,0.0,0.0,1.4606
F0,0.14680409611769915,4.302877726603044,0.9777624450381002,-0.9641522359619,0.3729492241999999,0.500801682066442,0.0,0.14985483492372564,0.4543158640381,0.958190918294274,0.0
0F,1.2286225887826696,1.5151763857176999,-1.2120898000000002,3.2320168667202798,1.2938933041796372,0.3844009683480905,-0.14834810267462317,0.020415107166970786,-0.9735189648913134,-0.9808322,1.0049821766272848
X,0.0,0.0,0.440837853561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999966,0.0,-2.35,0.0,0.0
A6,0.0,0.0,0.0,2.02,2.5100000000000002,0.0,0.0,0.0,0.0,0.0,0.0
A8,-1.6800000000000002,0.0,-0.6699999999999999,0.0,0.0,0.0,-0.17000000000000012,0.0,-0.16785341899999998,0.0,0.0
AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2279999999999998,0.0
FF,0.0,0.0,0.32320000000000015,1.7291598339199998,0.0,0.0,0.0,0.0,0.0,-1.669534898,0.0
B8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,-0.5199999999999999,0.0,0.0,1.2609000000000001,0.0,0.0,0.0,0.0,0.0,0.0
6A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,-0.32785341900000015,0.0,0.0,0.0,0.0,0.0
89,2.163267,0.0,-0.8484141359618999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6B,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
7B,0.0,0.0,1.3326400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.9236305361329986,0.0,1.71772158038136,0.0,0.0,0.0,0.0,0.0,0.0
A7,1.3069458441592927,0.0,0.0,0.0,2.02,0.0,-2.1782,0.0,0.0,0.0,0.0
69,0.6699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3350415722365712,0.0,0.0,0.0
