(2, [(56, 63), (56, 61)], 1.0, 0.0)
(1, [(62, 61)], 0.0, 1.0)
(1, [(54, 61)], 0.0, 1.0)
(3, [(56, 63), (54, 61), (56, 61)], 0.8, 0.23)
(2, [(54, 61), (56, 61)], 1.0, 0.0)
(1, [(56, 63)], 0.0, 1.0)
(2, [(57, 62), (55, 61)], 1.0, 0.0)
(1, [(61, 60)], 0.0, 1.0)
(1, [(57, 63)], 0.0, 1.0)
(1, [(60, 60)], 0.0, 1.0)
(1, [(55, 62)], 0.0, 1.0)
(3, [(57, 63), (60, 60), (55, 62)], 0.68, 0.47)
(2, [(57, 62), (56, 61)], 1.0, 0.0)
(2, [(58, 61), (56, 61)], 1.0, 0.0)
(1, [(58, 61)], 0.0, 1.0)
(1, [(56, 61)], 0.0, 1.0)
(1, [(58, 60)], 0.0, 1.0)
