,k_means_000,k_means_025,k_means_050,k_means_075,k_means_100
"(1, 1)",0.0,-1.90268973,0.21045107542230004,-2.85144812892,-4.41852
"(1, 2)",2.5728927000000006,0.0,0.0,0.0,0.0
"(1, 3)",-0.6000000000000001,0.0,0.0,-0.4800000000000001,-0.30000000000000004
"(2, 1)",0.0,0.0,-0.05999999999999994,0.0,0.0
"(2, 2)",0.0,-0.6000000000000001,0.0,0.0,-1.8
"(2, 3)",0.0,0.0,0.0,0.9,0.0
"(3, 1)",0.0,0.0,0.0,-0.30000000000000004,-0.246
"(4, 1)",0.5940000000000001,0.0,0.0,2.5633026,0.0
"(4, 2)",0.0,0.0,0.0,0.0,-0.6000000000000001
"(4, 3)",0.0,0.0,0.0,0.9,0.0
"(5, 1)",-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,-0.2205047209566,0.6000000000000001
"(5, 2)",0.0,0.0,0.0,0.0,-0.9
"(6, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 4)",0.0,0.30000000000000004,0.0,0.10800000000000004,0.0
"(1, 5)",0.056999999999999995,0.0,0.0,-2.5860000000000003,0.0
"(7, 1)",0.0,0.0,-1.2000000000000002,0.0,-0.11999999999999988
"(2, 4)",0.0,0.16200000000000003,-1.2000000000000002,0.0,0.0
"(2, 5)",0.0,0.0,1.8,0.0,-0.4800000000000001
"(2, 6)",0.0,0.0,0.0,0.0,-0.9
"(3, 2)",0.0,0.0,0.0,0.0,0.0
"(3, 3)",0.0,0.0,0.0,0.0,-0.30000000000000004
"(8, 1)",-0.30000000000000004,-0.30000000000000004,-1.356,0.0,0.0
"(9, 1)",0.0,0.0,0.0,0.0,0.0
"(1, 6)",0.0,0.0,0.0,0.0,0.45600000000000007
"(1, 7)",-1.2000000000000002,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,-2.1,-1.7813999999999999
"(7, 2)",0.0,-1.5,0.0,0.0,-0.30000000000000004
"(2, 7)",0.0,-0.6599999999999999,0.0,0.0,0.0
"(2, 8)",-1.2000000000000002,0.0,0.0,-0.573,0.0
"(2, 9)",-1.5,0.0,0.0,0.0,0.0
"(10, 1)",0.6000000000000001,0.0,0.0,0.0,0.6000000000000001
"(11, 1)",1.2966114000000002,0.0,1.1389740000000002,0.02700000000000001,0.0
"(11, 2)",0.0,0.02292540000000004,0.0,0.0,0.0
"(12, 1)",-0.3649760812199484,0.8068923166630081,0.24471038760145875,-0.7116425526939012,0.27631103007036606
"(12, 2)",0.273,-0.30000000000000004,0.0,0.024570000000000005,0.0
"(13, 1)",0.0,0.0,0.0,0.0,0.0
"(14, 1)",1.2540000000000002,-0.05999999999999994,0.0,0.0,0.0
"(14, 2)",0.0,0.0,0.0,0.0,0.0
"(14, 3)",0.0,0.0,0.0,-0.6000000000000001,-0.30000000000000004
