,action_ATK_nearest,action_ATK_clu_nearest,action_ATK_nearest_weakest,action_ATK_clu_nearest_weakest,action_ATK_threatening,action_DEF_clu_nearest,action_MIX_gather,action_MIX_lure,action_MIX_sacrifice_lure,do_randomly,do_nothing
79,-2.3490521905574266,-3.681519342051058,1.1486963176346505,0.0,-1.603374,-1.047274952825763,-1.02,-2.2481467250000002,0.8471232750000002,0.07470000000000002,0.35840067148923016
B7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,0.0,0.0
F0,7.082009997813957,2.7085410617501267,2.6639465579516504,3.641603300556783,2.452778199956183,2.1696493578512017,0.7307181515975083,2.593122524065541,2.2894305924561733,5.5184076098183805,4.087549152892821
0F,0.42653655830788917,1.0198009638033374,1.0122722654241336,0.9150005748189817,0.9185101409163644,0.26593510714450297,0.971961064697396,0.12626508705874673,0.9687745116655231,0.9653288044930984,1.5491166257531996
X,0.0,0.0,-0.34,0.0,0.0,0.0,-0.794841407,0.0,0.5858334120101741,-1.4215084682365349,0.0
78,-0.5517381988839999,0.5485822262021649,0.0,-0.5874344888399999,-0.33999999999999997,0.0,0.0,0.0,1.681354,2.225123275,1.9163560250000002
67,-0.4982,0.0,0.0,-0.6799999999999999,0.0,0.0,2.02,0.0,-0.87649256,0.0,0.0
98,0.0,0.0,0.31191760525581486,-0.34,0.0,-0.18,-0.3299999999999999,-0.34,0.0,0.8300000000000001,0.0
A8,0.0,2.9733936761717192,0.0,0.0,0.0,-0.16443998584676,0.0,-0.6799999999999999,-0.17000000000000004,0.0,0.0
77,-1.6800000000000002,0.0,0.9186072374383646,0.0,1.3706,0.0,0.0,0.0,0.0,0.0,0.0
A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500000000000001,0.0,0.0,0.0
B8,0.0,0.0,0.0,0.0,0.0,0.15966329789266898,0.0,0.0,0.0,1.9308999999999998,0.0
57,0.0,0.0,0.0,0.0,0.0,-0.06974999999999998,0.0,0.0,0.0,0.0,0.0
89,0.867207801116,0.0,0.0,-1.5892187211304023,0.0,0.0,0.0,0.0,-0.6799999999999999,0.0,1.3140200124
A5,0.0,0.0,0.0,0.0,-0.0259799876,0.0,0.0,0.0,0.0,0.0,0.0
A9,0.0,0.0,2.7345540157760926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4931044140117073,0.0
C3,0.4058012135302547,0.7652708459285374,0.0,0.0488459165373189,0.05850902969999999,-0.7184729460381958,0.05901574371678492,0.23255005869192624,-0.05434170440314233,0.11388186234018678,0.05850902969999999
FF,0.3643042934342992,1.616863555865673,0.483574309742955,0.31061967099140836,0.31986202409076214,0.6743060686556153,0.6411999035579309,-0.049899050353263474,0.4997156354227882,0.8700278312016227,2.2251411786935007
B4,0.0,0.0,0.0,0.11025000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.030600000000000006,0.0,0.0,0.0,0.0,0.0
6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67
AB,0.11924664854005296,0.04611198185830068,0.06911854078133177,0.0745995013535215,0.1870395291963583,0.24542547855398428,0.002592000000000001,-0.48712703909921606,0.06642978957797452,2.1823422400699037,0.028608700791486766
87,0.0,0.004880436300000002,0.051894045932404806,0.0,0.05480606360763002,0.0,0.46680609356987424,-0.24067314782356708,0.02930337000000001,0.02930337000000001,0.0
46,0.0047833156176300025,0.0047354824614537026,0.013081028534453705,0.0,0.052616471793930024,0.0,0.0,0.0,0.0047354824614537026,0.028113666300000013,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.02,0.0,0.0,0.0
88,0.0,1.6483574911206165,0.0,0.0,0.0,-0.31456902257391156,0.0,0.0,0.0,0.0,0.0
6C,0.0,0.0,0.0,2.5055601781151964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,-0.5199999999999999,1.6800000000000002,0.0,0.0,0.0,0.0
5A,0.0,1.5364108016062914,0.0,0.0,0.0,0.0,0.0,0.0,-0.6799999999999999,0.0,0.0
6A,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,-0.469737293917585,0.0,0.0,0.0
